array_type,size,algorithm,kind,time_ms,char_ops
almost,400,StringMergeSort,specialized,0.073536,1491
almost,400,MsdRadixSort,specialized,0.024189,892
almost,400,MsdRadixQuickSort,specialized,0.016777,2188
almost,500,StandardQuickSort,standard,0.013737,5773
almost,500,StandardMergeSort,standard,0.072013,4348
almost,500,StringQuickSort,specialized,0.011738,4014
almost,500,StringMergeSort,specialized,0.094070,1866
almost,500,MsdRadixSort,specialized,0.032996,1119
almost,500,MsdRadixQuickSort,specialized,0.020846,2748
almost,600,StandardQuickSort,standard,0.017746,7115
almost,600,StandardMergeSort,standard,0.106423,5347
almost,600,StringQuickSort,specialized,0.013625,4908
almost,600,StringMergeSort,specialized,0.126235,2222
almost,600,MsdRadixSort,specialized,0.038653,1337
almost,600,MsdRadixQuickSort,specialized,0.025307,3271
almost,700,StandardQuickSort,standard,0.026394,8600
almost,700,StandardMergeSort,standard,0.126874,6474
almost,700,StringQuickSort,specialized,0.016990,5965
almost,700,StringMergeSort,specialized,0.158131,2601
almost,700,MsdRadixSort,specialized,0.045628,1558
almost,700,MsdRadixQuickSort,specialized,0.032119,3831
almost,800,StandardQuickSort,standard,0.025231,10018
almost,800,StandardMergeSort,standard,0.201874,7567
almost,800,StringQuickSort,specialized,0.043095,6994
almost,800,StringMergeSort,specialized,0.376066,3044
almost,800,MsdRadixSort,specialized,0.108147,1781
almost,800,MsdRadixQuickSort,specialized,0.080583,4410
almost,900,StandardQuickSort,standard,0.056732,11397
almost,900,StandardMergeSort,standard,0.348781,8829
almost,900,StringQuickSort,specialized,0.047399,7901
almost,900,StringMergeSort,specialized,0.406873,3389
almost,900,MsdRadixSort,specialized,0.120959,2002
almost,900,MsdRadixQuickSort,specialized,0.093722,4938
almost,1000,StandardQuickSort,standard,0.068300,13008
almost,1000,StandardMergeSort,standard,0.401397,10152
almost,1000,StringQuickSort,specialized,0.048141,8957
almost,1000,StringMergeSort,specialized,0.331291,3868
almost,1000,MsdRadixSort,specialized,0.074886,2226
almost,1000,MsdRadixQuickSort,specialized,0.095075,5470
almost,1100,StandardQuickSort,standard,0.062579,14685
almost,1100,StandardMergeSort,standard,0.329577,11197
